Model,Replicate,Time,Average,SE
28062018,Rep 3,75,3715.0421230810907,234.9109944758738
28062018,Rep 4,75,3859.4366344232326,213.23839157049616
28062018,Rep 5,75,3861.7965845332283,232.90128869383184
28062018,Rep 1,76,4413.396614602139,248.5599005840849
28062018,Rep 2,76,3788.014389501012,218.7431665295451
28062018,Rep 3,76,3759.314649946009,246.61336950876154
28062018,Rep 4,76,3912.458516951782,221.5822455564601
28062018,Rep 5,76,3914.342697314617,242.82765372983962
28062018,Rep 1,77,4598.637692850418,262.81096897087474
28062018,Rep 2,77,3895.423990486124,235.38500952891303
28062018,Rep 3,77,3855.2781417701913,264.71361568229537
28062018,Rep 4,77,4025.7774714504462,237.5520723999161
28062018,Rep 5,77,4040.6773709389763,260.5860015079777
28062018,Rep 1,78,4801.054143196855,274.3470071457938
28062018,Rep 2,78,4016.5602837767783,252.18126459771233
28062018,Rep 3,78,3954.176761943096,282.02719005046856
28062018,Rep 4,78,4142.840822594568,255.65736356427672
28062018,Rep 5,78,4179.618308860755,278.09862947917185
28062018,Rep 1,79,4982.576802570839,283.4752366292854
28062018,Rep 2,79,4133.981201,266.98105870171696
28062018,Rep 3,79,4053.9968385149296,295.5807576831124
28062018,Rep 4,79,4264.294892826612,270.45616612617033
28062018,Rep 5,79,4310.4614376390755,291.7139596590636
28062018,Rep 1,80,5085.187652073769,288.17346358633023
28062018,Rep 2,80,4210.564979,276.34736344230095
28062018,Rep 3,80,4114.3739749814085,302.55702029062917
28062018,Rep 4,80,4350.0134,278.8087549881256
28062018,Rep 5,80,4398.337023435168,300.3501243393072
28062018,Rep 1,81,5037.0318901506125,283.42770735582394
28062018,Rep 2,81,4186.330172680408,275.3720982047049
28062018,Rep 3,81,4074.871389611917,297.3930999274923
28062018,Rep 4,81,4327.220503662027,275.6080129894738
28062018,Rep 5,81,4373.463737293431,297.28373391126314
28062018,Rep 1,82,4843.538944720588,269.70962802329854
28062018,Rep 2,82,4062.4515341545034,264.23464941950243
28062018,Rep 3,82,3947.7733996157394,280.49725866973114
28062018,Rep 4,82,4198.935914471938,260.9334670031754
28062018,Rep 5,82,4234.717901382197,282.54162217928626
28062018,Rep 1,83,4645.967438342267,256.9755202218281
28062018,Rep 2,83,3928.920240897039,250.85788730354622
28062018,Rep 3,83,3824.679870469197,263.3671004866247
28062018,Rep 4,83,4056.4166216370822,244.6613394124844
28062018,Rep 5,83,4081.5958704933983,266.81931829990623
28062018,Rep 1,84,4504.284392933425,249.35008777110534
28062018,Rep 2,84,3836.766003494498,241.10600905045612
28062018,Rep 3,84,3743.8108496486097,252.38313490798285
28062018,Rep 4,84,3958.2434462857536,231.87112958567508
28062018,Rep 5,84,3969.042341957831,256.26718728503545
28062018,Rep 1,85,4452.851527605424,249.32066521589806
28062018,Rep 2,85,3804.1797276013604,238.88058543012488
28062018,Rep 3,85,3720.290922280113,250.99824268965162
28062018,Rep 4,85,3920.0750135150583,226.45709123707647
28062018,Rep 5,85,3919.312040162173,253.0077557877137
28062018,Rep 1,86,4534.880719148972,261.49624192691317
28062018,Rep 2,86,3860.7173768400876,246.83403844018562
28062018,Rep 3,86,3774.5275909420243,261.0357013
28062018,Rep 4,86,3967.897466058915,232.22230253359103
28062018,Rep 5,86,3966.1327931432397,261.01038124088853
28062018,Rep 1,87,4803.853103686215,287.3509331
28062018,Rep 2,87,4039.1222782162254,266.0470193127122
28062018,Rep 3,87,3927.8328554411387,281.4154581121741
28062018,Rep 4,87,4147.915815077191,254.16595126688824
28062018,Rep 5,87,4154.530473979137,283.7508649350993
28062018,Rep 1,88,5235.244826,317.4494190045219
28062018,Rep 2,88,4386.340449755892,299.73292325600517
28062018,Rep 3,88,4194.655841568903,309.7758176981268
28062018,Rep 4,88,4473.853551099312,292.3484241319754
28062018,Rep 5,88,4499.757345898992,318.43499455750515
28062018,Rep 1,89,5756.666775039121,349.3726563194487
28062018,Rep 2,89,4835.620518577973,339.9739781619922
28062018,Rep 3,89,4552.643746509409,343.0848832226992
28062018,Rep 4,89,4869.3536884522755,336.6860673473432
28062018,Rep 5,89,4959.981748418873,358.8112073995063
28062018,Rep 1,90,6221.253062731289,373.7069410854675
28062018,Rep 2,90,5243.258281056848,371.01543636730895
28062018,Rep 3,90,4920.748625446673,372.3682595369037
28062018,Rep 4,90,5249.1205425577755,373.49464997792535
28062018,Rep 5,90,5407.888722488141,388.57884941101554
28062018,Rep 1,91,6578.041243838305,386.6374997551282
