Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
152,9,0,0,72,0
152,10,0,0,62,0
152,11,0,0,52,0
152,12,0,0,42,0
152,13,0,0,32,0
152,14,0,0,22,0
152,15,0,0,12,0
152,16,0,0,2,0
153,1,5.487314700241717e-05,3.3602802684163563e-06,153,0.005487315
153,2,5.59706099424655e-05,3.199626804898689e-06,143,0.005597061
153,3,6.639650787292477e-05,3.4047892311423934e-06,133,0.006639651
153,4,5.816553582256219e-05,2.9294244224001254e-06,123,0.005816554
153,5,6.20066561127314e-05,2.5443631547383503e-06,113,0.006200666
153,6,9.87716646043509e-06,1.646194410072515e-06,103,0.000987717
153,7,0,0,93,0
153,8,0,0,83,0
153,9,0,0,73,0
153,10,0,0,63,0
153,11,0,0,53,0
153,12,0,0,43,0
153,13,0,0,33,0
153,14,0,0,23,0
153,15,0,0,13,0
153,16,0,0,3,0
154,1,5.4324415532392997e-05,3.176013000214065e-06,154,0.005432442
154,2,5.6519341412489675e-05,2.824768131044481e-06,144,0.005651934
154,3,6.58477764029006e-05,3.5772915191919663e-06,134,0.006584778
154,4,5.816553582256219e-05,2.9294244224001254e-06,124,0.005816554
154,5,5.9262998762610535e-05,3.079747737256896e-06,114,0.0059263
154,6,1.0425897930459262e-05,2.016168161049815e-06,104,0.00104259
154,7,0,0,94,0
154,8,0,0,84,0
154,9,0,0,74,0
154,10,0,0,64,0
154,11,0,0,54,0
154,12,0,0,44,0
154,13,0,0,34,0
154,14,0,0,24,0
154,15,0,0,14,0
154,16,0,0,4,0
155,1,5.377568406236882e-05,3.639872793460656e-06,155,0.005377568
155,2,5.6519341412489675e-05,2.824768131044481e-06,145,0.005651934
155,3,6.529904493287643e-05,3.821472487203342e-06,135,0.006529904
155,4,5.816553582256219e-05,2.9294244224001254e-06,125,0.005816554
155,5,5.9262998762610535e-05,3.079747737256896e-06,115,0.0059263
155,6,9.87716646043509e-06,2.391865024975883e-06,105,0.000987717
155,7,0,0,95,0
155,8,0,0,85,0
155,9,0,0,75,0
155,10,0,0,65,0
155,11,0,0,55,0
155,12,0,0,45,0
155,13,0,0,35,0
155,14,0,0,25,0
155,15,0,0,15,0
155,16,0,0,5,0
156,1,5.377568406236882e-05,3.639872793460656e-06,156,0.005377568
156,2,5.542187847244134e-05,2.797992473375703e-06,146,0.005542188
156,3,6.58477764029006e-05,3.7818706673096593e-06,136,0.006584778
156,4,5.871426729258636e-05,2.9550094009413495e-06,126,0.005871427
156,5,5.9262998762610535e-05,3.079747737256896e-06,116,0.0059263
156,6,9.87716646043509e-06,2.391865024975883e-06,106,0.000987717
156,7,0,0,96,0
156,8,0,0,86,0
156,9,0,0,76,0
156,10,0,0,66,0
156,11,0,0,56,0
156,12,0,0,46,0
156,13,0,0,36,0
156,14,0,0,26,0
156,15,0,0,16,0
156,16,0,0,6,0
157,1,5.377568406236882e-05,3.639872793460656e-06,157,0.005377568
157,2,5.322695259234464e-05,3.079747737256898e-06,147,0.005322695
157,3,6.36528505228039e-05,2.7979924733757064e-06,137,0.006365285
157,4,5.871426729258636e-05,2.9550094009413495e-06,127,0.005871427
157,5,5.9262998762610535e-05,3.5349552171262165e-06,117,0.0059263
157,6,9.87716646043509e-06,2.391865024975883e-06,107,0.000987717
157,7,0,0,97,0
157,8,0,0,87,0
157,9,0,0,77,0
157,10,0,0,67,0
157,11,0,0,57,0
157,12,0,0,47,0
157,13,0,0,37,0
157,14,0,0,27,0
157,15,0,0,17,0
157,16,0,0,7,0
158,1,5.103202671224796e-05,4.3032584062528275e-06,158,0.005103203
158,2,5.377568406236882e-05,3.4268269319591614e-06,148,0.005377568
158,3,6.36528505228039e-05,2.7979924733757064e-06,138,0.006365285
158,4,5.6519341412489675e-05,2.54436315473835e-06,128,0.005651934
158,5,5.9262998762610535e-05,3.5349552171262165e-06,118,0.0059263
158,6,9.87716646043509e-06,2.391865024975883e-06,108,0.000987717
158,7,0,0,98,0
158,8,0,0,88,0
158,9,0,0,78,0
158,10,0,0,68,0
158,11,0,0,58,0
158,12,0,0,48,0
158,13,0,0,38,0
158,14,0,0,28,0
158,15,0,0,18,0
158,16,0,0,8,0
159,1,5.1580758182272137e-05,4.285729785916068e-06,159,0.005158076
159,2,5.4324415532392997e-05,3.821472487203341e-06,149,0.005432442
159,3,6.420158199282808e-05,3.3151737897300977e-06,139,0.006420158
159,4,5.6519341412489675e-05,2.9550094009413504e-06,129,0.005651934
159,5,5.871426729258636e-05,3.315173789730097e-06,119,0.005871427
159,6,1.0425897930459262e-05,2.016168161049815e-06,109,0.00104259
159,7,0,0,99,0
