Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
80,4,0.000507028,2.660074494362916e-06,50,0.050702788
80,5,0.000866996,8.67620634544123e-06,40,0.086699572
80,6,1.646194410072515e-06,6.720560536832718e-07,30,0.000164619
80,7,0,0,20,0
80,8,0,0,10,0
80,9,0,0,0,0
81,1,9.218688696406083e-05,2.2289577681543547e-06,81,0.009218689
81,2,0.000133342,1.0433115583059366e-05,71,0.013334175
81,3,0.000209067,1.171769768960321e-05,61,0.020906669
81,4,0.000496602,5.689368973455386e-06,51,0.049660198
81,5,0.000829133,8.949539438866027e-06,41,0.082913325
81,6,3.841120290169201e-06,1.646194410072515e-06,31,0.000384112
81,7,0,0,21,0
81,8,0,0,11,0
81,9,0,0,1,0
82,1,9.108942402401248e-05,1.5998134024493425e-06,82,0.009108942
82,2,0.000131147,9.320361916647192e-06,72,0.013114682
82,3,0.000197543,1.1378737946881845e-05,62,0.019754333
82,4,0.000493858,5.059054182994892e-06,52,0.049385832
82,5,0.000790722,7.279745586925146e-06,42,0.079072205
82,6,2.798530497123275e-05,2.660074494366629e-06,32,0.00279853
82,7,0,0,22,0
82,8,0,0,12,0
82,9,0,0,2,0
83,1,9.383308137413335e-05,1.5998134024493434e-06,83,0.009383308
83,2,0.000129501,6.908352687279301e-06,73,0.012950063
83,3,0.000189861,1.181366733242874e-05,63,0.018986109
83,4,0.000486725,7.980223483097328e-06,53,0.048672481
83,5,0.000749567,9.033260059290352e-06,43,0.074956719
83,6,7.682240580338402e-05,5.689368973440772e-06,33,0.007682241
83,7,0,0,23,0
83,8,0,0,13,0
83,9,0,0,3,0
84,1,9.273561843408499e-05,1.8199363967303241e-06,84,0.009273562
84,2,7.901733168348071e-05,2.5146034975901566e-06,74,0.007901733
84,3,0.000179984,1.0611961581011335e-05,64,0.017998392
84,4,0.000468068,9.528039000638879e-06,54,0.046806794
84,5,0.000710059,1.0780862827770296e-05,44,0.071005852
84,6,0.000120721,5.820176152573567e-06,34,0.012072092
84,7,0,0,24,0
84,8,0,0,14,0
84,9,0,0,4,0
85,1,9.273561843408499e-05,1.8199363967303241e-06,85,0.009273562
85,2,7.901733168348071e-05,2.5146034975901566e-06,75,0.007901733
85,3,0.000173399,9.715801660803232e-06,65,0.017339914
85,4,0.000444472,6.135004341826308e-06,55,0.044447249
85,5,0.000673842,9.80065743487906e-06,45,0.067384225
85,6,0.000127306,5.922742215537404e-06,35,0.01273057
85,7,0,0,25,0
85,8,0,0,15,0
85,9,0,0,5,0
86,1,9.328434990410917e-05,1.9400587175227696e-06,86,0.009328435
86,2,7.901733168348071e-05,2.6600744943666257e-06,76,0.007901733
86,3,0.000167912,9.07483073474354e-06,66,0.016791183
86,4,0.000422523,6.256501371003705e-06,56,0.042252323
86,5,0.000642565,9.715801660798165e-06,46,0.064256455
86,6,8.669957226381911e-05,4.303258406252825e-06,36,0.008669957
86,7,0,0,26,0
86,8,0,0,16,0
86,9,0,0,6,0
87,1,9.43818128441575e-05,1.8608389509146688e-06,87,0.009438181
87,2,7.901733168348071e-05,2.6600744943666257e-06,77,0.007901733
