Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Inside,Std_Error_Relative_Abundance_Inside,Aligned_Timestep,%
33,4,3326,0.5844977872403472,0,3,58.44977872
33,4,3327,0.584499091,0,3,58.44990913
33,4,3328,0.5844983333333333,0,3,58.44983333
34,1,3326,0.000475476,1.109910288230335e-05,34,0.047547582
34,1,3327,0.000203603,4.872061719762518e-06,34,0.020360291
34,1,3328,9.933333333330668e-05,4.428443418521532e-06,34,0.009933333
34,2,3326,0.013622259,0,24,1.362225874
34,2,3327,0.005602965,3.883648038134549e-05,24,0.560296545
34,2,3328,0.000164,4.612784167703083e-06,24,0.0164
34,3,3326,0.081593626,0,14,8.159362594
34,3,3327,0.081428728,6.195037563644877e-06,14,8.142872844
34,3,3328,0.011156667,4.11332522959683e-05,14,1.115666667
34,4,3326,0.48870299086087743,0,4,48.87029909
34,4,3327,0.4887024810912405,0,4,48.87024811
34,4,3328,0.4887016666666666,0,4,48.87016667
35,1,3326,0.000409079,7.543810492772228e-06,35,0.040907931
35,1,3327,0.000196498,6.725393070557256e-06,35,0.01964979
35,1,3328,0.000100667,5.5677643628204424e-06,35,0.010066667
35,2,3326,0.011388922,0,25,1.138892166
35,2,3327,0.00470507,3.14693947558184e-05,25,0.470506998
35,2,3328,0.000137,4.390646624113836e-06,25,0.0137
35,3,3326,0.06822104,0,15,6.822104001
35,3,3327,0.068073532,5.386266893306754e-06,15,6.80735324
35,3,3328,0.009414333,2.8355873387289146e-05,15,0.941433333
35,4,3326,0.4086074018387992,0,5,40.86074018
35,4,3327,0.4086068299116425,0,5,40.86068299
35,4,3328,0.4086066666666667,0,5,40.86066667
36,1,3326,0.000378899,5.84276633068863e-06,36,0.037889908
36,1,3327,0.000171852,6.756474296940402e-06,36,0.01718524
36,1,3328,7.733333333333333e-05,4.136557881996953e-06,36,0.007733333
36,2,3326,0.009523235,0,26,0.952323466
36,2,3327,0.003248099,2.4386602529750933e-05,26,0.324809913
36,2,3328,0.000107333,3.100179206286128e-06,26,0.010733333
36,3,3326,0.057039264,0,16,5.703926448
36,3,3327,0.053895265510844524,2.2823393304110798e-05,16,5.389526551
36,3,3328,0.009746333,3.369965380634004e-05,16,0.974633333
36,4,3326,0.3416388414083742,0,6,34.16388414
36,4,3327,0.3416387924593654,0,6,34.16387925
36,4,3328,0.3416383333333333,0,6,34.16383333
