Model,Location,Time,Replicate,Average,SE,Wind,Tide
17012018,3326,38,Rep4,3504.9866864872165,29.016471065429474,SE,Spring
17012018,3326,38,Rep5,3543.7730474261098,26.021549603526893,SE,Spring
17012018,3326,39,Rep1,3908.0577622187734,32.34297921426579,SE,Spring
17012018,3326,39,Rep2,3873.524009934057,35.43000904040514,SE,Spring
17012018,3326,39,Rep3,3962.7730674727222,33.39050703,SE,Spring
17012018,3326,39,Rep4,3933.066042297387,34.934093551644224,SE,Spring
17012018,3326,39,Rep5,3954.143956,31.70040579285867,SE,Spring
17012018,3326,40,Rep1,4312.256623,41.258305205348066,SE,Spring
17012018,3326,40,Rep2,4290.622214615521,43.82161839918107,SE,Spring
17012018,3326,40,Rep3,4390.007645224165,42.187565649938676,SE,Spring
17012018,3326,40,Rep4,4381.613498100951,42.91196870512285,SE,Spring
17012018,3326,40,Rep5,4364.439610163879,40.168854496877685,SE,Spring
17012018,3326,41,Rep1,4693.176909166414,51.15751426761395,SE,Spring
17012018,3326,41,Rep2,4689.920795789536,53.28184836148369,SE,Spring
17012018,3326,41,Rep3,4811.076935730465,51.372269079117636,SE,Spring
17012018,3326,41,Rep4,4803.82566,52.28053575712408,SE,Spring
17012018,3326,41,Rep5,4758.596610090327,49.961336549695474,SE,Spring
17012018,3326,42,Rep1,5058.719303806468,59.42396968062947,SE,Spring
17012018,3326,42,Rep2,5038.278982291046,61.91808698440063,SE,Spring
17012018,3326,42,Rep3,5184.162613126241,59.42983399391825,SE,Spring
17012018,3326,42,Rep4,5184.968640416456,60.99848709887854,SE,Spring
17012018,3326,42,Rep5,5107.623728459518,58.90673601979385,SE,Spring
17012018,3326,43,Rep1,5265.249240735392,64.95674110126727,SE,Spring
17012018,3326,43,Rep2,5228.601772714603,67.70657123,SE,Spring
17012018,3326,43,Rep3,5386.285764871778,65.33503985419463,SE,Spring
17012018,3326,43,Rep4,5395.8700377103705,66.25986760409168,SE,Spring
17012018,3326,43,Rep5,5294.439951019424,64.36467571459426,SE,Spring
17012018,3326,44,Rep1,5138.957623695395,65.90862855,SE,Spring
17012018,3326,44,Rep2,5109.877903504002,69.06424326182169,SE,Spring
17012018,3326,44,Rep3,5297.809099218578,66.86979357132867,SE,Spring
17012018,3326,44,Rep4,5285.904029544864,67.68582681523746,SE,Spring
17012018,3326,44,Rep5,5190.677040891711,65.74786709484573,SE,Spring
17012018,3326,45,Rep1,4894.281860403784,64.01523193378596,SE,Spring
17012018,3326,45,Rep2,4874.741490206266,66.19215653,SE,Spring
17012018,3326,45,Rep3,5038.159631749665,64.39588381,SE,Spring
17012018,3326,45,Rep4,5025.196093024032,66.00841846712311,SE,Spring
17012018,3326,45,Rep5,4935.376218021537,63.85509866,SE,Spring
17012018,3326,46,Rep1,4605.463494988289,62.26847710898765,SE,Spring
17012018,3326,46,Rep2,4572.3837370327365,63.57354479333121,SE,Spring
17012018,3326,46,Rep3,4730.742869827597,62.08783422074195,SE,Spring
17012018,3326,46,Rep4,4749.462575496989,63.560593103008294,SE,Spring
17012018,3326,46,Rep5,4618.818279594124,62.10112765818199,SE,Spring
17012018,3326,47,Rep1,4338.938747274454,60.8027456,SE,Spring
17012018,3326,47,Rep2,4309.382417975262,61.62393350534903,SE,Spring
17012018,3326,47,Rep3,4465.6181477463715,60.285099188500794,SE,Spring
17012018,3326,47,Rep4,4484.3737355146095,61.90006822718897,SE,Spring
17012018,3326,47,Rep5,4382.504387993871,60.08126239872441,SE,Spring
17012018,3326,48,Rep1,4198.507684940603,60.471559490179374,SE,Spring
17012018,3326,48,Rep2,4177.497323059637,60.79723163095444,SE,Spring
17012018,3326,48,Rep3,4346.767761870367,59.20727796500899,SE,Spring
17012018,3326,48,Rep4,4351.810971777129,60.81183720646273,SE,Spring
17012018,3326,48,Rep5,4270.6586768432035,59.444153410796446,SE,Spring
17012018,3326,49,Rep1,4266.665385895665,62.847183583056456,SE,Spring
17012018,3326,49,Rep2,4230.284952358587,62.75637230942456,SE,Spring
17012018,3326,49,Rep3,4448.006424846994,60.72737741,SE,Spring
17012018,3326,49,Rep4,4437.117704254576,62.33498479539177,SE,Spring
17012018,3326,49,Rep5,4328.703695493002,61.46376711633841,SE,Spring
17012018,3326,50,Rep1,4582.745689134953,68.47116703867445,SE,Spring
17012018,3326,50,Rep2,4542.851406545296,68.5457168,SE,Spring
17012018,3326,50,Rep3,4790.554695647663,66.21773107478714,SE,Spring
17012018,3326,50,Rep4,4767.908354417926,67.75209273,SE,Spring
17012018,3326,50,Rep5,4635.069464204193,66.99557090257042,SE,Spring
17012018,3326,51,Rep1,5099.161160496908,77.88589315,SE,Spring
17012018,3326,51,Rep2,5000.448694891536,77.45761737,SE,Spring
17012018,3326,51,Rep3,5296.071599791655,75.46637789345348,SE,Spring
17012018,3326,51,Rep4,5269.6735921828185,77.81434263016091,SE,Spring
17012018,3326,51,Rep5,5110.803777889337,75.62397414651149,SE,Spring
17012018,3326,52,Rep1,5695.754247181034,88.27284514974853,SE,Spring
17012018,3326,52,Rep2,5575.906597744103,89.04495537814948,SE,Spring
17012018,3326,52,Rep3,5911.621833780167,86.02475013858911,SE,Spring
17012018,3326,52,Rep4,5856.374875343403,89.43952816550619,SE,Spring
17012018,3326,52,Rep5,5683.720737750856,85.57509280871724,SE,Spring
17012018,3326,53,Rep1,6271.045333996749,98.85287512985953,SE,Spring
17012018,3326,53,Rep2,6163.108768915699,101.37389876497741,SE,Spring
17012018,3326,53,Rep3,6530.070232545311,97.92849279070853,SE,Spring
17012018,3326,53,Rep4,6444.723335840273,101.38066675607287,SE,Spring
17012018,3326,53,Rep5,6290.846426358668,96.62995470554841,SE,Spring
17012018,3326,54,Rep1,6730.555300252525,109.13175186656945,SE,Spring
17012018,3326,54,Rep2,6593.065126252538,112.2237774598057,SE,Spring
17012018,3326,54,Rep3,7027.079888656959,107.9303400398007,SE,Spring
17012018,3326,54,Rep4,6897.361165570626,112.89775084073938,SE,Spring
17012018,3326,54,Rep5,6780.6481054699725,106.71601677012002,SE,Spring
17012018,3326,55,Rep1,6894.707805658968,114.98584485045026,SE,Spring
17012018,3326,55,Rep2,6734.897503266247,118.74362844478328,SE,Spring
17012018,3326,55,Rep3,7213.260142364397,112.49504096096139,SE,Spring
17012018,3326,55,Rep4,7113.022120776197,118.48000837651693,SE,Spring
17012018,3326,55,Rep5,6979.866556363682,113.00169984777271,SE,Spring
17012018,3326,56,Rep1,6780.870100162175,117.04379988030071,SE,Spring
17012018,3326,56,Rep2,6563.915050468458,120.30678139722146,SE,Spring
17012018,3326,56,Rep3,7098.559715340851,114.38308587364766,SE,Spring
17012018,3326,56,Rep4,6914.520098945411,121.43258507557397,SE,Spring
17012018,3326,56,Rep5,6811.846519326631,115.25132433308833,SE,Spring
17012018,3326,57,Rep1,6417.081485971131,112.5435704999971,SE,Spring
17012018,3326,57,Rep2,6178.765333607819,117.26802473632756,SE,Spring
17012018,3326,57,Rep3,6698.760941025491,111.20702971207963,SE,Spring
17012018,3326,57,Rep4,6594.9088070200805,117.87081313331959,SE,Spring
17012018,3326,57,Rep5,6394.760649858512,112.6653181348089,SE,Spring
17012018,3326,58,Rep1,5936.109631011512,106.61073690638375,SE,Spring
17012018,3326,58,Rep2,5734.585715217511,110.18578041715642,SE,Spring
17012018,3326,58,Rep3,6203.986778705492,105.36746453973663,SE,Spring
17012018,3326,58,Rep4,6078.825036319708,113.30850496803666,SE,Spring
17012018,3326,58,Rep5,5919.448759,107.0068752871722,SE,Spring
17012018,3326,59,Rep1,5511.732894889438,101.02776250309117,SE,Spring
17012018,3326,59,Rep2,5285.377573639207,104.49141749713112,SE,Spring
17012018,3326,59,Rep3,5735.551377916413,99.33537790540665,SE,Spring
17012018,3326,59,Rep4,5614.758346933505,108.16921949233733,SE,Spring
17012018,3326,59,Rep5,5495.535704522221,100.61908982015103,SE,Spring
17012018,3326,60,Rep1,5125.9240893995075,98.17792584005556,SE,Spring
17012018,3326,60,Rep2,4905.8561017778975,99.9635538,SE,Spring
17012018,3326,60,Rep3,5379.8830693777945,95.75894942976493,SE,Spring
17012018,3326,60,Rep4,5251.781804867205,103.78504809673991,SE,Spring
17012018,3326,60,Rep5,5143.487818298284,96.09952486666202,SE,Spring
17012018,3326,61,Rep1,4978.317483084013,100.0117453880406,SE,Spring
17012018,3326,61,Rep2,4747.806225980672,100.00406585194123,SE,Spring
17012018,3326,61,Rep3,5272.144688828204,95.07948304,SE,Spring
17012018,3326,61,Rep4,5103.090361035289,103.54570237914591,SE,Spring
17012018,3326,61,Rep5,5011.244475818557,95.14847935837571,SE,Spring
17012018,3326,62,Rep1,5077.707344309039,106.62105930578424,SE,Spring
17012018,3326,62,Rep2,4892.149625984896,103.1796433700424,SE,Spring
17012018,3326,62,Rep3,5362.968699476559,100.51915435801213,SE,Spring
17012018,3326,62,Rep4,5226.132538966628,106.33368549147957,SE,Spring
17012018,3326,62,Rep5,5139.888501183055,98.92412688083319,SE,Spring
17012018,3326,63,Rep1,5415.478506251162,113.8808752933831,SE,Spring
17012018,3326,63,Rep2,5238.699357202069,111.65818710220103,SE,Spring
17012018,3326,63,Rep3,5732.844101394323,108.85096119431334,SE,Spring
17012018,3326,63,Rep4,5580.678410191357,112.97126080319262,SE,Spring
17012018,3326,63,Rep5,5473.730274686335,105.74933129617101,SE,Spring
17012018,3326,64,Rep1,5917.591644888116,123.65173669800667,SE,Spring
17012018,3326,64,Rep2,5697.243976778317,120.96781884454168,SE,Spring
