Timestep,ReleaseNumber,StGrid,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
46,4,3327,0.052570625451695316,3.700573470103245e-05,16,5.257062545
46,4,3328,0.056869667,7.771028817919055e-06,16,5.686966667
46,5,3326,0,0,6,0
46,5,3327,0,0,6,0
46,5,3328,0.3408399999999999,1.0992421631917296e-05,6,34.084
47,1,3326,0.000656832,6.627508637951613e-06,47,0.065683157
47,1,3327,0.000758016,6.47327561435873e-07,47,0.075801562
47,1,3328,0.000758333,0,47,0.075833333
47,2,3326,0.000639821,7.3824269005146365e-06,37,0.063982089
47,2,3327,0.001246263,6.660945654366273e-07,37,0.124626293
47,2,3328,0.001251667,0,37,0.125166667
47,3,3326,8.230972050362574e-05,2.4920505442846827e-06,27,0.008230972
47,3,3327,0.007668747,8.198647356270953e-06,27,0.766874673
47,3,3328,0.007929333,2.818589087555558e-06,27,0.792933333
47,4,3326,0,0,17,0
47,4,3327,0.044795526,3.484657235958831e-05,17,4.479552562
47,4,3328,0.047571666666666665,8.383184226635052e-06,17,4.757166667
47,5,3326,0,0,7,0
47,5,3327,0.12686192858800163,8.863577885843092e-05,7,12.68619286
47,5,3328,0.28531499999999993,6.368324391511647e-06,7,28.5315
48,1,3326,0.000642565,4.436757773132244e-06,48,0.064256455
48,1,3327,0.00072027,6.473275614204188e-07,48,0.072027026
48,1,3328,0.000721667,0,48,0.072166667
48,2,3326,0.000772614,7.992005895367445e-06,38,0.077261391
48,2,3327,0.001186981,2.2203152181997845e-07,38,0.118698052
48,2,3328,0.00119,0,38,0.119
48,3,3326,0.000274091,1.2672905483605339e-05,28,0.027409137
48,3,3327,0.001903476,2.6874070241796052e-06,28,0.190347624
48,3,3328,0.001955667,1.1303883305227443e-06,28,0.195566667
48,4,3326,0,0,18,0
48,4,3327,0.037844829,2.5047773448805378e-05,18,3.784482883
48,4,3328,0.039783667,7.859884081698512e-06,18,3.978366667
48,5,3326,0,0,8,0
48,5,3327,0.20194433003653525,0.000104733,8,20.194433
48,5,3328,0.238633,6.7782331358992205e-06,8,23.8633
49,1,3326,0.000624182,2.8446844867277227e-06,49,0.062418205
49,1,3327,0.000684745,6.473275614358562e-07,49,0.068474521
49,1,3328,0.000686667,0,49,0.068666667
49,2,3326,0.00089745,4.599207800284294e-06,39,0.089745032
49,2,3327,0.001129474,2.71931967636303e-07,39,0.112947435
49,2,3328,0.001131667,0,39,0.113166667
49,3,3326,0.000410177,1.7796800602316816e-05,29,0.041017677
49,3,3327,0.001815108,2.0167014469195924e-06,29,0.181510769
49,3,3328,0.001859,1.1303883305139843e-06,29,0.1859
49,4,3326,0,0,19,0
49,4,3327,0.031796024081538796,1.916750688676126e-05,19,3.179602408
49,4,3328,0.033262,7.479601890761958e-06,19,3.3262
49,5,3326,0,0,9,0
49,5,3327,0.18340802843779727,6.150914367125673e-05,9,18.34080284
49,5,3328,0.19951666666666662,7.359800721939429e-06,9,19.95166667
50,1,3326,0.00059894,3.1462465234169904e-06,50,0.05989404
50,1,3327,0.000651663,4.964775759372521e-07,50,0.065166252
50,1,3328,0.000653333,0,50,0.065333333
50,2,3326,0.000930374,3.4541763436454016e-06,40,0.093037421
50,2,3327,0.001074411,4.1538294185724576e-07,40,0.107441053
50,2,3328,0.001076667,0,40,0.107666667
50,3,3326,0.000507302,1.874642910657104e-05,30,0.050730224
50,3,3327,0.001727183,2.3913526747015743e-06,30,0.172718321
50,3,3328,0.001769333,1.2472191289135155e-06,30,0.176933333
50,4,3326,0,0,20,0
50,4,3327,0.026587609,1.637849348784683e-05,20,2.658760864
50,4,3328,0.027811667,5.552777082986917e-06,20,2.781166667
50,5,3326,0,0,10,0
50,5,3327,0.15525953819663774,5.8805458284789075e-05,10,15.52595382
50,5,3328,0.1648263333333333,2.9013406862657787e-05,10,16.48263333
50,6,3326,0,0,0,0
50,6,3327,0,0,0,0
50,6,3328,0,0,0,0
51,1,3326,0.000572601,3.0552075235716764e-06,51,0.057260129
51,1,3327,0.000620578,4.964775759372521e-07,51,0.06205781
51,1,3328,0.000621667,0,51,0.062166667
51,2,3326,0.000897725,3.2636839233758107e-06,41,0.089772468
51,2,3327,0.001022011,4.4406304363999866e-07,41,0.102201109
51,2,3328,0.001025,0,41,0.1025
51,3,3326,0.000693597,1.2711456589694617e-05,31,0.069359658
51,3,3327,0.001640813,3.2366378071124217e-06,31,0.164081295
51,3,3328,0.001682667,1.247219128932244e-06,31,0.168266667
51,4,3326,0,0,21,0
51,4,3327,0.022103016,1.0650572301987388e-05,21,2.210301597
51,4,3328,0.023246667,4.915960401248026e-06,21,2.324666667
51,5,3326,0,0,11,0
51,5,3327,0.12609192327034663,5.901341397032186e-05,11,12.60919233
51,5,3328,0.13577699999999995,1.47610598836607e-05,11,13.5777
51,6,3326,0,0,1,0
51,6,3327,0,0,1,0
51,6,3328,0,0,1,0
52,1,3326,0.00054297,2.5443631547330356e-06,52,0.054296979
52,1,3327,0.000589494,4.964775759372405e-07,52,0.058949369
52,1,3328,0.00059,0,52,0.059
52,2,3326,0.000851083,3.990111741551582e-06,42,0.085108251
52,2,3327,0.000971832,5.660715311827162e-07,42,0.097183197
52,2,3328,0.000974667,3.3333333333999236e-07,42,0.097466667
52,3,3326,0.001220104,9.8981027650949e-06,32,0.122010442
52,3,3327,0.001557329,2.7953054347664845e-06,32,0.155732909
52,3,3328,0.001599,1.4529663145139996e-06,32,0.1599
52,4,3326,0,0,22,0
52,4,3327,0.018373775,1.6116796967904996e-05,22,1.837377452
52,4,3328,0.019433,4.453463071969393e-06,22,1.9433
52,5,3326,0,0,12,0
52,5,3327,0.10418340691828017,6.646831699709055e-05,12,10.41834069
52,5,3328,0.11213599999999994,2.3726450312776877e-05,12,11.2136
52,6,3326,0,0,2,0
52,6,3327,0,0,2,0
52,6,3328,0,0,2,0
53,1,3326,0.000516905,2.0984943550256285e-06,53,0.051690504
53,1,3327,0.000560852,4.1538294185723607e-07,53,0.056085162
53,1,3328,0.000561667,0,53,0.056166667
53,2,3326,0.000811574,3.593039026797188e-06,43,0.081157384
53,2,3327,0.000923651,3.510626606522786e-07,43,0.092365113
53,2,3328,0.000926,4.082482904475202e-07,43,0.0926
53,3,3326,0.001269216,1.1003742145680706e-05,33,0.126921589
53,3,3327,0.001471625,3.13214005740619e-06,33,0.147162493
53,3,3328,0.001517333,1.2472191289335839e-06,33,0.151733333
53,4,3326,0,0,23,0
53,4,3327,0.014778418,2.1034484072552685e-05,23,1.477841809
53,4,3328,0.016216,7.141428428544782e-06,23,1.6216
53,5,3326,0,0,13,0
53,5,3327,0.086347393,5.913358480149361e-05,13,8.634739274
53,5,3328,0.091673,3.0954267341782544e-05,13,9.1673
53,6,3326,0,0,3,0
53,6,3327,0,0,3,0
53,6,3328,0,0,3,0
54,1,3326,0.000486176,2.7299045950913294e-06,54,0.048617608
54,1,3327,0.000533764,6.473275614358524e-07,54,0.053376378
54,1,3328,0.000535,0,54,0.0535
54,2,3326,0.000768773,4.704392375784442e-06,44,0.076877279
54,2,3327,0.000878357,4.1538294185723295e-07,44,0.08783567
54,2,3328,0.000881,4.082482904475202e-07,44,0.0881
54,3,3326,0.001339179,5.938608148638692e-06,34,0.133917915
54,3,3327,0.001398577,2.7056889153966443e-06,34,0.139857656
54,3,3328,0.001443,8.16496580925686e-07,34,0.1443
54,4,3326,0,0,24,0
54,4,3327,0.012300768340081179,1.9136618518794722e-05,24,1.230076834
54,4,3328,0.013558333,4.624812308508235e-06,24,1.355833333
54,5,3326,0,0,14,0
54,5,3327,0.072618518,4.429709709263357e-05,14,7.261851765
54,5,3328,0.076209667,1.76808119471672e-05,14,7.620966667
54,6,3326,0,0,4,0
54,6,3327,0,0,4,0
