Timestep,ReleaseNumber,Mean_Relative_Abundance_Outside,Std_Error_Relative_Abundance_Outside,Aligned_Timestep,%
94,2,4.554471201200624e-05,3.6398727934606567e-06,84,0.004554471
94,3,4.225232319186122e-05,2.6882242147330874e-06,74,0.004225232
94,4,3.29238882014503e-06,1.5998134024493455e-06,64,0.000329239
94,5,0,0,54,0
94,6,0,0,44,0
94,7,0,0,34,0
94,8,0,0,24,0
94,9,0,0,14,0
94,10,0,0,4,0
95,1,2.688784203118441e-05,2.360183294705189e-06,95,0.002688784
95,2,4.554471201200624e-05,3.6398727934606567e-06,85,0.004554471
95,3,4.1703591721837046e-05,2.7979924733757064e-06,75,0.004170359
95,4,2.7436573501208582e-06,1.5027630207260433e-06,65,0.000274366
95,5,0,0,55,0
95,6,0,0,45,0
95,7,0,0,35,0
95,8,0,0,25,0
95,9,0,0,15,0
95,10,0,0,5,0
96,1,2.633911056116024e-05,2.5443631547383532e-06,96,0.002633911
96,2,4.115486025181287e-05,3.5772915191919663e-06,86,0.004115486
96,3,3.7862471431667844e-05,2.9294244224001262e-06,76,0.003786247
96,4,1.646194410072515e-06,1.646194410072515e-06,66,0.000164619
96,5,0,0,56,0
96,6,0,0,46,0
96,7,0,0,36,0
96,8,0,0,26,0
96,9,0,0,16,0
96,10,0,0,6,0
97,1,1.8108138510797663e-05,2.9550094009413516e-06,97,0.001810814
97,2,3.1826425261401956e-05,5.459809190190987e-06,87,0.003182643
97,3,3.2375156731426124e-05,2.3601832947051884e-06,77,0.003237516
97,4,1.646194410072515e-06,1.646194410072515e-06,67,0.000164619
97,5,0,0,57,0
97,6,0,0,47,0
97,7,0,0,37,0
97,8,0,0,27,0
97,9,0,0,17,0
97,10,0,0,7,0
98,1,1.2620823810555948e-05,1.860838950914672e-06,98,0.001262082
98,2,2.249799027099104e-05,4.013624683677651e-06,88,0.002249799
98,3,1.9754332920870177e-05,2.360183294705187e-06,78,0.001975433
98,4,5.487314700241716e-07,5.487314700241717e-07,68,5.48731E-05
98,5,0,0,58,0
98,6,0,0,48,0
98,7,0,0,38,0
98,8,0,0,28,0
98,9,0,0,18,0
98,10,0,0,8,0
99,1,8.779703520386746e-06,1.8199363967303286e-06,99,0.00087797
99,2,2.030306439089435e-05,1.8608389509146707e-06,89,0.002030306
99,3,1.0974629400483435e-05,2.1252278449435314e-06,79,0.001097463
99,4,5.487314700241716e-07,5.487314700241717e-07,69,5.48731E-05
99,5,0,0,59,0
99,6,0,0,49,0
99,7,0,0,39,0
99,8,0,0,29,0
99,9,0,0,19,0
99,10,0,0,9,0
100,1,7.133509110314232e-06,1.0974629400483432e-06,100,0.000713351
100,2,1.9754332920870177e-05,2.194925880096685e-06,90,0.001975433
100,3,1.2072092340531775e-05,2.544363154738352e-06,80,0.001207209
100,4,0,0,70,0
100,5,0,0,60,0
100,6,0,0,50,0
100,7,0,0,40,0
100,8,0,0,30,0
100,9,0,0,20,0
100,10,0,0,10,0
100,11,0,0,0,0
101,1,1.0425897930459262e-05,1.5998134024493457e-06,101,0.00104259
101,2,2.030306439089435e-05,2.2289577681543572e-06,91,0.002030306
101,3,1.316955528058012e-05,1.5998134024493455e-06,81,0.001316956
101,4,2.1949258800966865e-06,1.0265825790856328e-06,71,0.000219493
101,5,0,0,61,0
101,6,0,0,51,0
101,7,0,0,41,0
101,8,0,0,31,0
101,9,0,0,21,0
101,10,0,0,11,0
101,11,0,0,1,0
102,1,1.7559407040773492e-05,2.544363154738351e-06,102,0.001755941
102,2,2.743657350120858e-05,1.502763020726044e-06,92,0.002743657
102,3,2.4692916151087722e-05,3.5772915191919634e-06,82,0.002469292
102,4,7.682240580338402e-06,1.3441121073665433e-06,72,0.000768224
102,5,5.487314700241716e-07,5.487314700241716e-07,62,5.48731E-05
102,6,0,0,52,0
102,7,0,0,42,0
102,8,0,0,32,0
102,9,0,0,22,0
102,10,0,0,12,0
102,11,0,0,2,0
103,1,2.0851795860918523e-05,2.5443631547383515e-06,103,0.00208518
103,2,3.182642526140195e-05,2.391865024975883e-06,93,0.003182643
103,3,3.127769379137779e-05,4.214886397697857e-06,83,0.003127769
103,4,2.5241647621111897e-05,3.918726519666727e-06,73,0.002524165
103,5,1.1523360870507604e-05,3.4047892311423926e-06,63,0.001152336
103,6,0,0,53,0
103,7,0,0,43,0
103,8,0,0,33,0
103,9,0,0,23,0
103,10,0,0,13,0
103,11,0,0,3,0
104,1,2.633911056116024e-05,3.315173789730099e-06,104,0.002633911
104,2,3.402135114149864e-05,2.0531651581712664e-06,94,0.003402135
104,3,3.347261967147447e-05,4.623693551678905e-06,84,0.003347262
104,4,2.5241647621111897e-05,4.704392375782902e-06,74,0.002524165
104,5,1.5913212630700975e-05,4.861773211113281e-06,64,0.001591321
104,6,0,0,54,0
104,7,0,0,44,0
104,8,0,0,34,0
104,9,0,0,24,0
104,10,0,0,14,0
104,11,0,0,4,0
105,1,2.9082767911281093e-05,3.315173789730099e-06,105,0.002908277
105,2,3.4570082611522816e-05,2.544363154738353e-06,95,0.003457008
105,3,3.7862471431667844e-05,3.6191326087168515e-06,85,0.003786247
105,4,3.2375156731426124e-05,4.106330316342532e-06,75,0.003237516
105,5,3.5118814081546984e-05,5.71576989933512e-06,65,0.003511881
105,6,0,0,55,0
105,7,0,0,45,0
105,8,0,0,35,0
105,9,0,0,25,0
105,10,0,0,15,0
105,11,0,0,5,0
106,1,3.3472619671474467e-05,3.29238882014503e-06,106,0.003347262
106,2,4.1703591721837046e-05,3.7216779018293436e-06,96,0.004170359
106,3,3.8959934371716186e-05,3.1760130002140663e-06,86,0.003895993
106,4,4.82883693621271e-05,4.124621410506811e-06,76,0.004828837
106,5,9.986912754437532e-05,4.799440207342273e-06,66,0.009986913
106,6,1.646194410072515e-06,6.720560536832718e-07,56,0.000164619
106,7,0,0,46,0
106,8,0,0,36,0
106,9,0,0,26,0
106,10,0,0,16,0
106,11,0,0,6,0
107,1,3.29238882014503e-05,2.7436573501208582e-06,107,0.003292389
107,2,4.7739637892102934e-05,2.2289577681543598e-06,97,0.004773964
107,3,4.0606128781788704e-05,2.9294244224001283e-06,87,0.004060613
107,4,4.719090642207876e-05,4.285729785916069e-06,77,0.004719091
107,5,0.000113587,1.8608389509005238e-06,67,0.011358741
107,6,6.365285052280391e-05,6.39925360979738e-06,57,0.006365285
107,7,0,0,47,0
107,8,0,0,37,0
107,9,0,0,27,0
107,10,0,0,17,0
107,11,0,0,7,0
108,1,3.072896232135361e-05,3.4047892311423913e-06,108,0.003072896
108,2,4.664217495205459e-05,1.940058717522774e-06,98,0.004664217
108,3,3.6216277021595326e-05,3.292388820145029e-06,88,0.003621628
108,4,4.499598054198208e-05,3.0797477372569e-06,78,0.004499598
108,5,0.000149804,3.5349552171265058e-06,68,0.014980369
108,6,0.000150901,1.2300645457168618e-05,58,0.015090115
108,7,0,0,48,0
108,8,0,0,38,0
108,9,0,0,28,0
108,10,0,0,18,0
108,11,0,0,8,0
109,1,3.402135114149864e-05,4.558105923236897e-06,109,0.003402135
109,2,5.103202671224796e-05,1.398996236687855e-06,99,0.005103203
109,3,3.6216277021595326e-05,3.176013000214066e-06,89,0.003621628
109,4,4.993456377219962e-05,4.372670278374006e-06,79,0.004993456
109,5,0.000167363,3.360280268427555e-06,69,0.01673631
109,6,0.000186569,7.463554906750896e-06,59,0.01865687
109,7,0,0,49,0
109,8,0,0,39,0
109,9,0,0,29,0
109,10,0,0,19,0
109,11,0,0,9,0
110,1,3.731373996164367e-05,4.214886397697857e-06,110,0.003731374
110,2,5.542187847244134e-05,2.3601832947051855e-06,100,0.005542188
110,3,4.1703591721837046e-05,1.5998134024493457e-06,90,0.004170359
110,4,5.103202671224796e-05,4.3032584062528275e-06,80,0.005103203
110,5,0.000174497,2.955009400938382e-06,70,0.017449661
110,6,0.000218395,5.5283163765094795e-06,60,0.021839513
110,7,2.7436573501208582e-06,1.227000868367436e-06,50,0.000274366
110,8,0,0,40,0
110,9,0,0,30,0
110,10,0,0,20,0
110,11,0,0,10,0
110,12,0,0,0,0
111,1,4.3349786131909564e-05,3.5135957755539317e-06,111,0.004334979
111,2,6.694523934294893e-05,3.079747737256899e-06,101,0.006694524
111,3,5.103202671224797e-05,1.0974629400483443e-06,91,0.005103203
111,4,5.542187847244134e-05,4.623693551678904e-06,81,0.005542188
111,5,0.000167363,2.454001736732988e-06,71,0.01673631
111,6,0.000226077,5.6628449642969285e-06,61,0.022607737
111,7,3.841120290169201e-06,1.3989962366878528e-06,51,0.000384112
111,8,0,0,41,0
111,9,0,0,31,0
111,10,0,0,21,0
111,11,0,0,11,0
111,12,0,0,1,0
112,1,4.44472490719579e-05,5.014216777052342e-06,112,0.004444725
112,2,6.694523934294893e-05,3.937889110810098e-06,102,0.006694524
112,3,5.542187847244134e-05,1.5998134024493432e-06,92,0.005542188
112,4,5.4324415532392997e-05,4.457915536308716e-06,82,0.005432442
112,5,0.000154194,5.446004340814784e-06,72,0.015419354
112,6,0.000206323,4.196988710053226e-06,62,0.020632303
112,7,3.841120290169201e-06,1.3989962366878528e-06,52,0.000384112
112,8,0,0,42,0
112,9,0,0,32,0
112,10,0,0,22,0
112,11,0,0,12,0
112,12,0,0,2,0
113,1,4.2252323191861214e-05,2.0531651581712643e-06,113,0.004225232
113,2,6.090919317268305e-05,4.457915536308716e-06,103,0.006090919
113,3,5.1580758182272137e-05,3.0552075235639125e-06,93,0.005158076
113,4,4.719090642207876e-05,4.623693551678904e-06,83,0.004719091
113,5,0.000127854,3.1996268048932293e-06,73,0.012785443
113,6,0.000169009,4.214886397704216e-06,63,0.016900929
113,7,2.1949258800966865e-06,5.487314700241716e-07,53,0.000219493
113,8,0,0,43,0
113,9,0,0,33,0
113,10,0,0,23,0
113,11,0,0,13,0
113,12,0,0,3,0
114,1,3.29238882014503e-05,1.227000868367437e-06,114,0.003292389
114,2,4.938583230217545e-05,2.29550843135253e-06,104,0.004938583
114,3,4.115486025181287e-05,3.128250685500425e-06,94,0.004115486
114,4,5.0483295242223794e-05,6.1717045954625354e-06,84,0.00504833
114,5,8.121225756357741e-05,2.824768131044483e-06,74,0.008121226
114,6,0.000158583,1.5998134024594767e-06,64,0.015858339
114,7,2.7436573501208582e-06,1.227000868367436e-06,54,0.000274366
114,8,0,0,44,0
114,9,0,0,34,0
114,10,0,0,24,0
114,11,0,0,14,0
114,12,0,0,4,0
115,1,2.9082767911281096e-05,1.3989962366878532e-06,115,0.002908277
115,2,4.225232319186122e-05,4.3032584062528275e-06,105,0.004225232
115,3,3.402135114149864e-05,2.2289577681543576e-06,95,0.003402135
115,4,4.993456377219962e-05,5.582516852744015e-06,85,0.004993456
115,5,8.011479462352906e-05,3.404789231142391e-06,75,0.008011479
115,6,0.000130049,4.12462141051271e-06,65,0.013004936
115,7,3.29238882014503e-06,1.0265825790856328e-06,55,0.000329239
115,8,0,0,45,0
115,9,0,0,35,0
115,10,0,0,25,0
115,11,0,0,15,0
115,12,0,0,5,0
116,1,3.018023085132944e-05,1.5027630207260442e-06,116,0.003018023
116,2,4.3349786131909564e-05,6.098083218116058e-06,106,0.004334979
116,3,3.3472619671474467e-05,2.0161681610498147e-06,96,0.003347262
116,4,4.7739637892102934e-05,6.110415047127825e-06,86,0.004773964
116,5,7.572494286333569e-05,1.3989962366878523e-06,76,0.007572494
116,6,0.000123465,5.13291289542656e-06,66,0.012346458
116,7,2.1949258800966865e-06,1.0265825790856328e-06,56,0.000219493
116,8,0,0,46,0
116,9,0,0,36,0
116,10,0,0,26,0
116,11,0,0,16,0
116,12,0,0,6,0
117,1,3.347261967147447e-05,1.599813402449346e-06,117,0.003347262
117,2,4.3898517601933725e-05,5.6893689734407715e-06,107,0.004389852
117,3,3.8959934371716186e-05,2.6600744943666282e-06,97,0.003895993
117,4,5.2129489652296305e-05,5.689368973440771e-06,87,0.005212949
117,5,7.627367433335987e-05,1.3441121073665429e-06,77,0.007627367
117,6,0.000136085,3.3151737897239296e-06,67,0.01360854
117,7,1.646194410072515e-06,1.0974629400483432e-06,57,0.000164619
117,8,0,0,47,0
117,9,0,0,37,0
117,10,0,0,27,0
117,11,0,0,17,0
117,12,0,0,7,0
118,1,4.44472490719579e-05,2.0161681610498156e-06,118,0.004444725
118,2,5.103202671224796e-05,5.728924738137413e-06,108,0.005103203
118,3,4.3898517601933725e-05,1.7352412690887922e-06,98,0.004389852
118,4,5.761680435253802e-05,4.90800347346974e-06,88,0.00576168
118,5,8.395591491369825e-05,3.3151737897300955e-06,78,0.008395591
118,6,0.000159681,5.3764484294742894e-06,68,0.015968086
118,7,5.4873147002417164e-06,1.227000868367436e-06,58,0.000548731
118,8,0,0,48,0
118,9,0,0,38,0
118,10,0,0,28,0
118,11,0,0,18,0
118,12,0,0,8,0
119,1,5.103202671224796e-05,4.214886397697857e-06,119,0.005103203
119,2,6.310411905277973e-05,2.6028619036331873e-06,109,0.006310412
119,3,5.0483295242223794e-05,2.8247681310444825e-06,99,0.00504833
119,4,6.749397081297311e-05,4.953802320933224e-06,89,0.006749397
119,5,9.328434990410917e-05,3.5772915191919617e-06,79,0.009328435
119,6,0.000183825,6.01105208290869e-06,69,0.018382504
119,7,4.499598054198208e-05,5.3201489887332564e-06,59,0.004499598
119,8,5.487314700241716e-07,5.487314700241716e-07,49,5.48731E-05
119,9,0,0,39,0
119,10,0,0,29,0
119,11,0,0,19,0
119,12,0,0,9,0
120,1,5.103202671224797e-05,2.544363154738354e-06,120,0.005103203
120,2,6.255538758275558e-05,1.5998134024493468e-06,110,0.006255539
120,3,4.883710083215128e-05,3.17601300021407e-06,100,0.00488371
